UnitID,Institution Name,FIPS state code (HD2015),Bureau of Economic Analysis (BEA) regions (HD2015),Sector of institution (HD2015),Level of institution (HD2015),Degree-granting status (HD2015),Historically Black College or University (HD2015),Tribal college (HD2015),Control of institution (HD2015),Degree of urbanization (Urban-centric locale) (HD2015),Institutional category (HD2015),Carnegie Classification 2015: Undergraduate Profile (HD2015),Carnegie Classification 2015: Undergraduate Instructional Program (HD2015),Carnegie Classification 2015: Basic (HD2015),Carnegie Classification 2015: Graduate Instructional Program (HD2015),Carnegie Classification 2015: Enrollment Profile (HD2015),Carnegie Classification 2015: Size and Setting (HD2015),Postsecondary and Title IV institution indicator (HD2015),Land Grant Institution (HD2015),Institution size category (HD2015)
110422,California Polytechnic State University-San Luis Obispo,6,8,1,1,1,2,2,1,23,2,14,16,18,4,3,16,1,2,5
110538,California State University-Chico,6,8,1,1,1,2,2,1,13,2,13,13,18,4,3,15,1,2,4
110574,California State University-East Bay,6,8,1,1,1,2,2,1,12,2,11,13,18,4,4,15,1,2,4
211440,Carnegie Mellon University,42,2,2,1,1,2,2,2,11,2,14,14,15,15,6,17,1,2,4
190150,Columbia University in the City of New York,36,2,2,1,1,2,2,2,11,2,15,11,15,14,6,17,1,2,5
190549,CUNY Brooklyn College,36,2,1,1,1,2,2,1,11,2,9,14,18,4,4,15,1,2,4
166683,Massachusetts Institute of Technology,25,1,2,1,1,2,2,2,12,2,14,14,15,15,6,17,1,2,4
171128,Michigan Technological University,26,3,1,1,1,2,2,1,33,2,14,19,16,17,4,13,1,2,3
180461,Montana State University,30,7,1,1,1,2,2,1,33,2,15,17,16,17,3,16,1,1,4
193900,New York University,36,2,2,1,1,2,2,2,11,2,14,14,15,14,5,16,1,2,5
147767,Northwestern University,17,3,2,1,1,2,2,2,13,2,14,11,15,14,6,16,1,2,5
122597,San Francisco State University,6,8,1,1,1,2,2,1,11,2,13,14,17,13,4,15,1,2,5
122755,San Jose State University,6,8,1,1,1,2,2,1,11,2,13,17,18,4,4,15,1,2,5
243744,Stanford University,6,8,2,1,1,2,2,2,21,2,14,11,15,14,6,17,1,2,4
110635,University of California-Berkeley,6,8,1,1,1,2,2,1,12,2,15,11,15,15,5,16,1,1,5
110644,University of California-Davis,6,8,1,1,1,2,2,1,23,2,15,11,15,14,4,16,1,1,5
110680,University of California-San Diego,6,8,1,1,1,2,2,1,11,2,15,8,15,14,4,16,1,2,5
110705,University of California-Santa Barbara,6,8,1,1,1,2,2,1,22,2,15,8,15,15,4,16,1,2,5
130943,University of Delaware,10,2,1,1,1,2,2,1,21,2,14,14,15,15,4,16,1,1,5
174066,University of Minnesota-Twin Cities,27,4,1,1,1,2,2,1,11,2,15,14,15,14,5,15,1,1,5
168421,Worcester Polytechnic Institute,25,1,2,1,1,2,2,2,12,2,14,17,16,17,4,14,1,2,3
